document_id,element_id,document_name
1001,101,Акт проверки насоса H-21 от 15.01.2024
1002,101,Сертификат соответствия насоса H-21
1003,101,Паспорт насоса H-21
1004,102,Акт проверки клапана K-45 от 20.02.2024
1005,102,Сертификат клапана K-45
1006,102,Инструкция по эксплуатации клапана K-45
1007,103,Акт проверки датчика Д-12 от 25.03.2024
1008,103,Сертификат датчика Д-12
1009,103,Протокол калибровки датчика Д-12
2001,201,Акт проверки насоса H-33 от 10.04.2024
2002,201,Паспорт насоса H-33
2003,201,Сертификат насоса H-33
2004,202,Акт проверки термометра Т-7 от 15.05.2024
2005,202,Сертификат термометра Т-7
2006,202,Протокол поверки термометра Т-7
2007,203,Акт проверки манометра М-9 от 20.06.2024
2008,203,Сертификат манометра М-9
2009,203,Инструкция по монтажу манометра М-9
3001,301,Акт проверки компрессора К-60 от 25.07.2024
3002,301,Сертификат компрессора К-60
3003,301,Руководство по эксплуатации компрессора К-60
3004,302,Акт проверки фильтра Ф-3 от 30.08.2024
3005,302,Сертификат фильтра Ф-3
3006,302,Паспорт фильтра Ф-3
3007,303,Акт проверки реле Р-15 от 05.09.2024
3008,303,Сертификат реле Р-15
3009,303,Протокол испытаний реле Р-15
